HSD,Wave,Location,HSD-name,Arm,Arm_ITT,Arm_PP
1,4A,West,Ibanda,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
2,4B,West,Bughendera,OlysetPlus,PBO LLIN,PBO LLIN
3,4B,West,Bwamba,Olyset,Non-PBO LLIN,Non-PBO LLIN
4,3,West,Buliisa,OlysetPlus,PBO LLIN,PBO LLIN
5,4A,West,Bukanga,Olyset,Non-PBO LLIN,Non-PBO LLIN
6,4A,West,Isingiro North,PermaNet-3,PBO LLIN,PBO LLIN
7,4A,West,Isingiro South,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
8,4A,West,Ruhinda,Olyset,Non-PBO LLIN,Non-PBO LLIN
9,3,West,Kibanda,PermaNet-3,PBO LLIN,PBO LLIN
10,4A,West,Kazo,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
11,4A,West,Nyabushozi,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
12,4B,West,Sheema South,OlysetPlus,PBO LLIN,PBO LLIN
13,4B,West,Sheema North,OlysetPlus,PBO LLIN,PBO LLIN
14,4A,West,Bunyaruguru,PermaNet-3,PBO LLIN,PBO LLIN
15,4A,West,Katerera,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
16,4A,West,Kibaale,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
17,4A,West,Kitagwenda,Olyset,Non-PBO LLIN,Non-PBO LLIN
18,4A,West,Kajara,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
19,4A,West,Ntungamo Municipality,Olyset,Non-PBO LLIN,Non-PBO LLIN
20,4A,West,Ruhaama,PermaNet-3,PBO LLIN,PBO LLIN
21,4A,West,Rushenyi,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
22,3,West,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
23,3,West,Buruli,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
24,3,West,Masindi Municipality,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
25,4B,West,Bukonzo West,OlysetPlus,PBO LLIN,PBO LLIN
26,4B,West,Bukonzo East,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
27,4B,West,Busongora South,PermaNet-3,PBO LLIN,NA
28,4B,West,Busongora North,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
29,4B,West,Kasese Municipality,OlysetPlus,PBO LLIN,PBO LLIN
30,4A,West,Bugahya,PermaNet-3,PBO LLIN,PBO LLIN
31,4A,West,Buhaguzi,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN
