"","ename","inttime","survey","cluster","eanum","hhnum","hhid","intdate","burnyn","whatburn","whatburnother","spray","closewindow","closetime","airbricks","scrairbricks","sdoors","ceiling","result","otherresult","totvisit","nonanophfem","nonanophmal","gambiaef","gambiaem","funestusf","funestusm","othanophfem","othanophmal"
"1","WATUWA PHILIP PETER","2019-03-18 07:45:27.000",3,29,5,226,302905226,"2019-03-19 00:00:00.000","Yes","Coil","-9","No","Yes","7-8pm","Yes(all)","Yes(all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"2","WATUWA PHILIP PETER","2019-03-18 08:06:08.000",3,29,4,18,302904018,"2019-03-18 00:00:00.000","No","-9","-9","No","Yes","After 10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"3","WATUWA PHILIP PETER","2019-03-18 08:33:49.000",3,29,2,7,302902007,"2019-03-18 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,2,0,0,0,0,0,0,0
"4","WATUWA PHILIP PETER","2019-03-18 08:56:27.000",3,29,3,25,302903025,"2019-03-18 00:00:00.000","Yes","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"5","WATUWA PHILIP PETER","2019-03-18 09:32:10.000",3,29,7,8,302907008,"2019-03-18 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"6","WATUWA PHILIP PETER","2019-03-15 14:41:46.000",3,2,7,24,300207024,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","7-8pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"7","WATUWA PHILIP PETER","2019-03-15 14:47:54.000",3,2,9,25,300209025,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","After 10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,2,0,0,0
"8","WATUWA PHILIP PETER","2019-03-15 14:52:53.000",3,2,8,23,300208023,"2019-03-15 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"9","WATUWA PHILIP PETER","2019-03-16 07:27:49.000",3,2,3,89,300203089,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"10","WATUWA PHILIP PETER","2019-03-16 08:31:41.000",3,2,4,7,300204007,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"11","WATUWA PHILIP PETER","2019-03-16 09:47:29.000",3,2,5,7,300205007,"2019-03-16 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"12","WATUWA PHILIP PETER","2019-03-17 07:48:04.000",3,2,2,35,300202035,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"13","WATUWA PHILIP PETER","2019-03-17 08:32:14.000",3,2,1,104,300201104,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","8-9pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,1,0,0,0,0,0
"14","WATUWA PHILIP PETER","2019-03-17 09:55:06.000",3,2,6,11,300206011,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"15","odwar edward","2019-03-20 07:17:42.000",3,28,9,50,302809050,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,2,1,0,0
"16","odwar edward","2019-03-20 08:20:44.000",3,28,7,90,302807090,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,2,0,0,0,0,0,0,0
"17","odwar edward","2019-03-20 09:13:10.000",3,28,8,145,302808145,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","Before 6pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"18","odwar edward","2019-03-20 09:39:31.000",3,28,1,78,302801078,"2019-03-20 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"19","odwar edward","2019-03-21 07:14:31.000",3,28,3,63,302803063,"2019-03-21 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,4,5,0,0,1,0,0,0
"20","odwar edward","2019-03-21 08:17:49.000",3,28,2,42,302802042,"2019-03-21 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"21","odwar edward","2019-03-21 08:34:59.000",3,28,4,8,302804008,"2019-03-21 00:00:00.000","Yes","Other","firewood","No","No","-9","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"22","odwar edward","2019-03-21 09:20:06.000",3,28,5,51,302805051,"2019-03-21 00:00:00.000","No","-9","-9","No","Yes","Before 6pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"23","odwar edward","2019-03-21 09:51:39.000",3,28,6,10,302806010,"2019-03-21 00:00:00.000","Yes","Other","firewood","No","No","-9","No(or not all)","-9","No(or not all)","No","Completed",-9,1,1,0,1,0,0,0,0,0
"24","odwar edward","2019-03-22 07:30:45.000",3,27,5,5,302705005,"2019-03-22 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,1,0,4,2,0,0,0,0
"25","odwar edward","2019-03-22 08:05:21.000",3,27,4,41,302704041,"2019-03-22 00:00:00.000","No","-9","-9","No","No","-9","No(or not all)","-9","No(or not all)","No","Completed",-9,1,2,1,0,0,0,0,0,0
"26","odwar edward","2019-03-22 09:00:40.000",3,27,2,70,302702070,"2019-03-22 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"27","odwar edward","2019-03-22 09:49:10.000",3,27,3,85,302703085,"2019-03-22 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
"28","odwar edward","2019-03-23 07:40:30.000",3,27,7,188,302707188,"2019-03-23 00:00:00.000","Yes","Other","charcoal stove","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"29","odwar edward","2019-03-23 08:09:03.000",3,27,8,24,302708024,"2019-03-23 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,-9,0,0,0,0,0,0,0,0
"30","odwar edward","2019-03-23 08:53:05.000",3,27,1,144,302701144,"2019-03-23 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","Yes(all)","No(or not all)","Yes","Completed",-9,1,0,0,0,0,0,0,0,0
"31","odwar edward","2019-03-23 09:30:02.000",3,27,6,25,302706025,"2019-03-23 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"32","odwar edward","2019-03-23 09:58:50.000",3,28,10,25,302810025,"2019-03-23 00:00:00.000","No","-9","-9","No","Yes","6-7pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,1,0,0,0,0,0,0,0
"33","odwar edward","2019-03-24 07:53:20.000",3,27,10,48,302710048,"2019-03-24 00:00:00.000","No","-9","-9","No","Yes","6-7pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"34","odwar edward","2019-03-24 09:11:33.000",3,27,9,48,302709048,"2019-03-24 00:00:00.000","No","-9","-9","No","Yes","7-8pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
"35","NYANGABAKYE FRANCIS","2019-03-17 07:45:33.000",3,3,5,44,300305044,"2019-03-17 00:00:00.000","No","-9","-9","No","Yes","9-10pm","No(or not all)","-9","No(or not all)","No","Completed",-9,1,0,0,0,0,1,0,0,0
"36","NYANGABAKYE FRANCIS","2019-03-19 07:28:01.000",3,29,9,84,302909084,"2019-03-19 00:00:00.000","No","-9","-9","No","Yes","9-10pm","Yes(all)","No(or not all)","No(or not all)","No","Completed",-9,1,0,0,0,0,0,0,0,0
