Model	P	FDR
kdrF_model1	9.6e-10	1.728e-08
kdrF_model2	3.3e-09	2.1e-08
kdrS_model1	3.5e-09	2.1e-08
kdrS_model2	1.1e-08	4.95e-08
La2_model1	0.1	0.18
La2_model2	0.37	0.444
Coeae1d_model1	0.63	0.667058823529412
Coeae1d_model2	0.75	0.75
Cyp4j5_model1	0.03	0.06
Cyp4j5_model2	0.22	0.36
Cyp4j5_model3	0.025	0.05625
Cyp4j5_model4	0.014	0.036
Cyp6p4_model1	7.3e-05	0.000219
Cyp6p4_model2	8.8e-06	3.168e-05
Cyp6p4_model3	0.24	0.36
Cyp6p4_model4	0.27	0.373846153846154
Cyp6p4_model5	0.55	0.61875
Cyp6p4_model6	0.34	0.437142857142857
